what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1258243278015
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1258243278015
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1258243278015
os,sysinfo,,,"win32",1258243278015
arch,sysinfo,,,"x86",1258243278015
ws,sysinfo,,,"win32",1258243278015
locale,sysinfo,,,"en_US",1258243278015
processors,sysinfo,,,"2",1258243278015
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1258243278015
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1258243278015
java.specification.name,sysinfo,,,"Java Platform API Specification",1258243278015
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1258243278015
java.specification.version,sysinfo,,,"1.6",1258243278015
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1258243278015
java.version,sysinfo,,,"1.6.0_17",1258243278015
java.vm.info,sysinfo,,,"mixed mode, sharing",1258243278015
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1258243278015
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1258243278015
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1258243278015
java.vm.specification.version,sysinfo,,,"1.0",1258243278015
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1258243278015
java.vm.version,sysinfo,,,"14.3-b01",1258243278015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1258243292718
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1258243301296
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1258243301312
